date,"altman, s","bardeen, j","barton, d",benacerr.b,"bloch, k","bloember, n","bridgman, pw","corey, e","cori, cf","enders, jf","gilbert, w","glauber, rj","gross, dj",herschba.dr,"horvitz, hr","hubel, dh","kandel, er","karplus, m","kornberg, r","lehn, j","lipscomb, w","murray, je","palade, ge","phillips, wd","politzer, hd","prelog, v","purcell, em","ramsey, nf","richards, t","riess, adam g.","rubbia, c","schmidt, bp","sharp, pa","steitz, t","stoddart, j","szostak, jw","watson, jd","weller, th","wiesel, tn",wilkinso.g,"wilson, rw","wineland, david","woodward, r"
1956.0,0.0,0.0,8.0,2.0,0.0,12.0,1.0,21.0,6.0,7.0,1.0,2.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,5.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,0.0,0.0,6.0
1960.0,0.0,2.0,5.0,11.0,1.0,12.0,2.0,22.0,4.0,13.0,5.0,2.0,0.0,4.0,0.0,7.0,0.0,19.0,0.0,0.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,8.0
1964.0,0.0,0.0,9.0,18.0,1.0,25.0,0.0,46.0,6.0,17.0,6.0,3.0,0.0,10.0,0.0,12.0,2.0,35.0,0.0,0.0,47.0,19.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,6.0
1968.0,0.0,0.0,7.0,17.0,0.0,17.0,0.0,63.0,4.0,7.0,4.0,5.0,5.0,13.0,0.0,6.0,0.0,29.0,0.0,0.0,44.0,37.0,1.0,0.0,0.0,2.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0
1972.0,1.0,0.0,7.0,36.0,0.0,24.0,0.0,112.0,4.0,3.0,2.0,3.0,0.0,17.0,0.0,5.0,0.0,28.0,0.0,1.0,71.0,28.0,0.0,0.0,0.0,1.0,2.0,17.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0
1976.0,0.0,0.0,4.0,59.0,0.0,22.0,0.0,128.0,7.0,0.0,9.0,2.0,0.0,27.0,0.0,14.0,0.0,27.0,1.0,0.0,64.0,11.0,1.0,0.0,2.0,0.0,1.0,12.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0
1980.0,0.0,0.0,0.0,62.0,0.0,29.0,0.0,125.0,4.0,0.0,19.0,10.0,0.0,12.0,0.0,7.0,0.0,44.0,1.0,0.0,61.0,10.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0
1984.0,0.0,0.0,0.0,34.0,3.0,38.0,0.0,161.0,2.0,0.0,11.0,2.0,0.0,21.0,0.0,9.0,0.0,60.0,1.0,0.0,27.0,14.0,1.0,0.0,0.0,1.0,19.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0
1988.0,0.0,0.0,2.0,17.0,1.0,11.0,0.0,96.0,0.0,0.0,12.0,3.0,0.0,30.0,0.0,3.0,0.0,84.0,0.0,0.0,38.0,5.0,0.0,0.0,0.0,0.0,14.0,5.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1992.0,0.0,0.0,1.0,13.0,0.0,6.0,0.0,93.0,0.0,0.0,21.0,2.0,0.0,33.0,2.0,2.0,0.0,77.0,0.0,0.0,31.0,5.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,27.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0
1996.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,75.0,0.0,0.0,25.0,3.0,0.0,26.0,0.0,5.0,0.0,65.0,0.0,1.0,22.0,1.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2000.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,77.0,0.0,0.0,7.0,4.0,0.0,16.0,0.0,1.0,0.0,83.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,12.0,1.0,1.0,13.0,0.0,3.0,0.0,84.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,64.0,0.0,0.0,2.0,6.0,0.0,4.0,0.0,5.0,0.0,51.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,2.0,0.0,32.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,3.0,0.0,11.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
