date,"barkla, cg","bethe, ha","black, jw","blackett, pms","edwards, rg","evans, mj","gurdon, jb","hewish, a","hodgkin, al","hunt, t","huxley, af","josephson, bd","kendrew, j","lindahl, t","milstein, c","mitchell, p","mott, n","norrish, r","perutz, m","pople, j","porter, g","ryle, m","sanger, f","thouless, dj","tsien, r","walker, j","wilson, ctr"
1972.0,0.0,0.0,0.0,0.0,10.0,0.0,7.0,2.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,1.0,0.0,6.0,0.0,8.0,1.0,0.0,0.0,2.0,0.0
1976.0,0.0,0.0,2.0,0.0,4.0,0.0,3.0,2.0,1.0,8.0,0.0,2.0,0.0,1.0,0.0,0.0,21.0,1.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,20.0,0.0
1980.0,0.0,0.0,1.0,0.0,7.0,0.0,6.0,2.0,1.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,9.0,13.0,0.0
1984.0,0.0,1.0,7.0,0.0,10.0,0.0,4.0,3.0,2.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,6.0,13.0,0.0
1988.0,0.0,0.0,5.0,0.0,15.0,0.0,8.0,4.0,2.0,13.0,1.0,3.0,0.0,2.0,0.0,0.0,11.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,11.0,0.0
1992.0,0.0,0.0,7.0,0.0,14.0,1.0,7.0,2.0,0.0,21.0,0.0,3.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0
1996.0,0.0,0.0,8.0,0.0,12.0,0.0,11.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0
2000.0,0.0,0.0,4.0,0.0,9.0,0.0,13.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,0.0
2004.0,0.0,0.0,2.0,0.0,17.0,0.0,15.0,0.0,0.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0
2008.0,0.0,0.0,3.0,0.0,23.0,0.0,11.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
2012.0,0.0,0.0,1.0,0.0,1.0,0.0,28.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
2016.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0
